n	time (sec)	Rate (MB/sec)
1	0.000001	6.371618
2	0.000001	16.366226
4	0.000001	27.330023
8	0.000001	45.889715
16	0.000005	23.373583
32	0.000002	115.705580
64	0.000002	275.668252
128	0.000004	220.089270
256	0.000007	279.577651
512	0.000004	979.508863
1024	0.000010	769.325455
2048	0.000017	935.124783
4096	0.000025	1226.115274
8192	0.000041	1512.657921
16384	0.000075	1664.979487
32768	0.000144	1740.316877
65536	0.000279	1789.600275
131072	0.000563	1775.974966
262144	0.001149	1740.480442
524288	0.002235	1789.899775
1048576	0.004482	1784.820282
2097152	0.008744	1829.921806
4194304	0.017125	1868.622086
8388608	0.033451	1913.236575
