n	time (sec)	Rate (MB/sec)
1	0.000008	0.946386
2	0.000003	5.846965
4	0.000003	11.120772
8	0.000003	23.538142
16	0.000051	2.409157
32	0.000004	58.889687
64	0.000008	64.831150
128	0.000005	204.744506
256	0.000005	400.388063
512	0.000004	1053.492755
1024	0.000009	858.139279
2048	0.000012	1343.970411
4096	0.000017	1824.817518
8192	0.000028	2216.233467
16384	0.000051	2470.941725
32768	0.000091	2741.137901
65536	0.000174	2874.686659
131072	0.000339	2950.897073
262144	0.000670	2987.201336
524288	0.001330	3006.849603
1048576	0.002655	3013.573133
2097152	0.005630	2841.928391
4194304	0.011400	2806.901082
8388608	0.022909	2793.682245
